main_sound,level,hanja,meaning,radical,strokes,total_strokes
식,5급Ⅱ,識,"[[['알'], ['식']]]",言,12,19
신,5급Ⅱ,臣,"[[['신하'], ['신']]]",臣,0,6
실,5급Ⅱ,實,"[[['열매'], ['실']]]",宀,11,14
아,5급Ⅱ,兒,"[[['아이'], ['아']]]",儿,6,8
악,5급Ⅱ,惡,"[[['악할'], ['악']], [['미워할'], ['오']]]",心,8,12
약,5급Ⅱ,約,"[[['맺을'], ['약']]]",糸,3,9
양,5급Ⅱ,養,"[[['기를'], ['양']]]",食,6,15
요,5급Ⅱ,要,"[[['요긴할'], ['요']]]",襾,3,9
우,5급Ⅱ,友,"[[['벗'], ['우']]]",又,2,4
우,5급Ⅱ,雨,"[[['비'], ['우']]]",雨,0,8
운,5급Ⅱ,雲,"[[['구름'], ['운']]]",雨,4,12
원,5급Ⅱ,元,"[[['으뜸'], ['원']]]",儿,2,4
위,5급Ⅱ,偉,"[[['클'], ['위']]]",人,9,11
이,5급Ⅱ,以,"[[['써'], ['이']]]",人,3,5
임,5급Ⅱ,任,"[[['맡길'], ['임']]]",人,4,6
재,5급Ⅱ,財,"[[['재물'], ['재']]]",貝,3,10
재,5급Ⅱ,材,"[[['재목'], ['재']]]",木,3,7
적,5급Ⅱ,的,"[[['과녁'], ['적']]]",白,3,8
전,5급Ⅱ,傳,"[[['전할'], ['전']]]",人,11,13
전,5급Ⅱ,典,"[[['법'], ['전']]]",八,6,8
전,5급Ⅱ,展,"[[['펼'], ['전']]]",尸,7,10
절,5급Ⅱ,節,"[[['마디'], ['절']]]",竹,9,15
절,5급Ⅱ,切,"[[['끊을'], ['절']], [['온통'], ['체']]]",刀,2,4
점,5급Ⅱ,店,"[[['가게'], ['점']]]",广,5,8
정,5급Ⅱ,情,"[[['뜻'], ['정']]]",心,8,11
조,5급Ⅱ,調,"[[['고를'], ['조']]]",言,8,15
졸,5급Ⅱ,卒,"[[['마칠'], ['졸']]]",十,6,8
종,5급Ⅱ,種,"[[['씨'], ['종']]]",禾,9,14
주,5급Ⅱ,週,"[[['주일'], ['주']]]",辵,8,12
주,5급Ⅱ,州,"[[['고을'], ['주']]]",巛,3,6
지,5급Ⅱ,知,"[[['알'], ['지']]]",矢,3,8
질,5급Ⅱ,質,"[[['바탕'], ['질']]]",貝,8,15
착,5급Ⅱ,着,"[[['붙을'], ['착']]]",目,7,12
참,5급Ⅱ,參,"[[['참여할'], ['참']]]",厶,9,11
책,5급Ⅱ,責,"[[['꾸짖을'], ['책']]]",貝,4,11
충,5급Ⅱ,充,"[[['채울'], ['충']]]",儿,4,6
택,5급Ⅱ,宅,"[[['집'], ['택']]]",宀,3,6
품,5급Ⅱ,品,"[[['물건'], ['품']]]",口,6,9
필,5급Ⅱ,必,"[[['반드시'], ['필']]]",心,1,5
필,5급Ⅱ,筆,"[[['붓'], ['필']]]",竹,6,12
해,5급Ⅱ,害,"[[['해할'], ['해']]]",宀,7,10
화,5급Ⅱ,化,"[[['될'], ['화']]]",匕,2,4
효,5급Ⅱ,效,"[[['본받을'], ['효']]]",攴,6,10
흉,5급Ⅱ,凶,"[[['흉할'], ['흉']]]",凵,2,4
가,5급,加,"[[['더할'], ['가']]]",力,3,5
가,5급,可,"[[['옳을'], ['가']]]",口,2,5
개,5급,改,"[[['고칠'], ['개']]]",攴,3,7
거,5급,擧,"[[['들'], ['거']]]",手,14,18
거,5급,去,"[[['갈'], ['거']]]",厶,3,5
건,5급,件,"[[['물건'], ['건']]]",人,4,6
건,5급,建,"[[['세울'], ['건']]]",廴,6,9
건,5급,健,"[[['굳셀'], ['건']]]",人,9,11
경,5급,輕,"[[['가벼울'], ['경']]]",車,7,14
경,5급,競,"[[['다툴'], ['경']]]",立,15,20
경,5급,景,"[[['볕'], ['경']]]",日,8,12
고,5급,考,"[[['생각할'], ['고']]]",老,2,6
고,5급,固,"[[['굳을'], ['고']]]",囗,5,8
곡,5급,曲,"[[['굽을'], ['곡']]]",曰,2,6
교,5급,橋,"[[['다리'], ['교']]]",木,12,16
구,5급,救,"[[['구원할'], ['구']]]",攴,7,11
귀,5급,貴,"[[['귀할'], ['귀']]]",貝,5,12
규,5급,規,"[[['법'], ['규']]]",見,4,11
급,5급,給,"[[['줄'], ['급']]]",糸,6,12
기,5급,汽,"[[['물끓는김'], ['기']]]",水,4,7
기,5급,期,"[[['기약할'], ['기']]]",月,8,12
기,5급,技,"[[['재주'], ['기']]]",手,4,7
길,5급,吉,"[[['길할'], ['길']]]",口,3,6
단,5급,壇,"[[['단'], ['단']]]",土,13,16
담,5급,談,"[[['말씀'], ['담']]]",言,8,15
도,5급,都,"[[['도읍'], ['도']]]",邑,9,12
도,5급,島,"[[['섬'], ['도']]]",山,7,10
락,5급,落,"[[['떨어질'], ['락']]]",艸,9,13
랭,5급,冷,"[[['찰'], ['랭']]]",冫,5,7
량,5급,量,"[[['헤아릴'], ['량']]]",里,5,12
령,5급,領,"[[['거느릴'], ['령']]]",頁,5,14
령,5급,令,"[[['하여금'], ['령']]]",人,3,5
료,5급,料,"[[['헤아릴'], ['료']]]",斗,6,10
마,5급,馬,"[[['말'], ['마']]]",馬,0,10
말,5급,末,"[[['끝'], ['말']]]",木,1,5
망,5급,亡,"[[['망할'], ['망']]]",亠,1,3
매,5급,買,"[[['살'], ['매']]]",貝,5,12
매,5급,賣,"[[['팔'], ['매']]]",貝,8,15
무,5급,無,"[[['없을'], ['무']]]",火,8,12
배,5급,倍,"[[['곱'], ['배']]]",人,8,10
비,5급,比,"[[['견줄'], ['비']]]",比,0,4
비,5급,費,"[[['쓸'], ['비']]]",貝,5,12
비,5급,鼻,"[[['코'], ['비']]]",鼻,0,14
빙,5급,氷,"[[['얼음'], ['빙']]]",水,1,5
사,5급,寫,"[[['베낄'], ['사']]]",宀,12,15
사,5급,思,"[[['생각'], ['사']]]",心,5,9
사,5급,査,"[[['조사할'], ['사']]]",木,5,9
상,5급,賞,"[[['상줄'], ['상']]]",貝,8,15
서,5급,序,"[[['차례'], ['서']]]",广,4,7
선,5급,善,"[[['착할'], ['선']]]",口,9,12
선,5급,選,"[[['가릴'], ['선']]]",辵,12,16
선,5급,船,"[[['배'], ['선']]]",舟,5,11
시,5급,示,"[[['보일'], ['시']]]",示,0,5
안,5급,案,"[[['책상'], ['안']]]",木,6,10
어,5급,漁,"[[['고기잡을'], ['어']]]",水,11,14
어,5급,魚,"[[['고기', '물고기'], ['어']]]",魚,0,11
억,5급,億,"[[['억[數字]'], ['억']]]",人,13,15
열,5급,熱,"[[['더울'], ['열']]]",火,11,15
엽,5급,葉,"[[['잎'], ['엽']]]",艸,9,13
옥,5급,屋,"[[['집'], ['옥']]]",尸,6,9
완,5급,完,"[[['완전할'], ['완']]]",宀,4,7
요,5급,曜,"[[['빛날'], ['요']]]",日,14,18
욕,5급,浴,"[[['목욕할'], ['욕']]]",水,7,10
우,5급,牛,"[[['소'], ['우']]]",牛,0,4
웅,5급,雄,"[[['수컷'], ['웅']]]",隹,4,12
원,5급,原,"[[['언덕'], ['원']]]",厂,8,10
원,5급,院,"[[['집'], ['원']]]",阜,7,10
원,5급,願,"[[['원할'], ['원']]]",頁,10,19
위,5급,位,"[[['자리'], ['위']]]",人,5,7
이,5급,耳,"[[['귀'], ['이']]]",耳,0,6
인,5급,因,"[[['인할'], ['인']]]",囗,3,6
재,5급,災,"[[['재앙'], ['재']]]",火,3,7
재,5급,再,"[[['두'], ['재']]]",冂,4,6
쟁,5급,爭,"[[['다툴'], ['쟁']]]",爪,4,8
저,5급,貯,"[[['쌓을'], ['저']]]",貝,5,12
적,5급,赤,"[[['붉을'], ['적']]]",赤,0,7
정,5급,停,"[[['머무를'], ['정']]]",人,9,11
조,5급,操,"[[['잡을'], ['조']]]",手,13,16
종,5급,終,"[[['마칠'], ['종']]]",糸,5,11
죄,5급,罪,"[[['허물'], ['죄']]]",网,8,13
지,5급,止,"[[['그칠'], ['지']]]",止,0,4
창,5급,唱,"[[['부를'], ['창']]]",口,8,11
철,5급,鐵,"[[['쇠'], ['철']]]",金,13,21
초,5급,初,"[[['처음'], ['초']]]",刀,5,7
최,5급,最,"[[['가장'], ['최']]]",曰,8,12
축,5급,祝,"[[['빌'], ['축']]]",示,5,10
치,5급,致,"[[['이를'], ['치']]]",至,4,10
칙,5급,則,"[[['법칙'], ['칙']]]",刀,7,9
타,5급,他,"[[['다를'], ['타']]]",人,3,5
타,5급,打,"[[['칠'], ['타']]]",手,2,5
탁,5급,卓,"[[['높을'], ['탁']]]",十,6,8
탄,5급,炭,"[[['숯'], ['탄']]]",火,5,9
판,5급,板,"[[['널'], ['판']]]",木,4,8
패,5급,敗,"[[['패할'], ['패']]]",攴,7,11
하,5급,河,"[[['물'], ['하']]]",水,5,8
한,5급,寒,"[[['찰'], ['한']]]",宀,9,12
허,5급,許,"[[['허락할'], ['허']]]",言,4,11
호,5급,湖,"[[['호수'], ['호']]]",水,9,12
환,5급,患,"[[['근심'], ['환']]]",心,7,11
흑,5급,黑,"[[['검을'], ['흑']]]",黑,0,12
