가축	家畜	사람이 기르는 집짐승
단군	檀君	고조선의 시조
단련	鍛鍊	몸이나 마음을 단단히 익힘
담낭	膽囊	쓸개
답사	踏査	현장을 직접 조사함
대본	臺本	연극이나 방송의 대사 원고
대작	對酌	술잔을 서로 주고받음
대지	垈地	넓은 땅
도감	圖鑑	그림과 함께 설명한 책
도공	陶工	도자기를 만드는 장인
도배	塗褙	벽에 종이나 천을 붙임
도약	跳躍	높이 뛰어오름
도작	稻作	벼농사
도하	渡河	강을 건넘
돈독	敦篤	친밀하고 두터움
돈오	頓悟	갑자기 깨달음
동굴	洞窟	땅속에 생긴 큰 구멍
동량	棟梁	기둥과 들보, 즉 인재
동사	凍死	얼어 죽음
둔각	鈍角	90도보다 작은 각
둔전	屯田	군사들이 농사짓는 밭
마찰	摩擦	접촉하여 서로 비빔
매장	埋藏	땅속에 묻음
매체	媒體	정보를 전달하는 수단
맥락	脈絡	사물의 전개되는 관계
맹수	猛獸	사납고 무서운 짐승
맹아	萌芽	싹이 남
면역	免疫	병에 걸리지 않는 힘
면직	綿織	목화로 짠 천
멸망	滅亡	완전히 망함
멸시	蔑視	업신여김
명부	冥府	죽은 자가 가는 곳
명사	名詞	이름을 나타내는 말
명예	名譽	세상에 널리 알려진 좋은 이름
모방	模倣	본떠서 흉내냄
모순	矛盾	서로 맞지 않음
모옥	茅屋	초가지붕 집
모의	謀議	의논하여 계획함
모험	冒險	위험을 무릅씀
목욕	沐浴	몸을 씻음
몰입	沒入	어떤 일에 깊이 빠짐
몽매	蒙昧	어리석고 무지함
묘목	苗木	심어 기르는 나무
묘사	描寫	그림이나 글로 자세히 나타냄
무영	無影	그림자가 없음
무용	舞踊	춤
미모	美貌	아름다운 얼굴과 몸매
미분	微分	수학에서 아주 작은 변화량
미신	迷信	근거 없는 믿음
미필	未畢	아직 마치지 않음
민담	民譚	민간에서 전해 내려오는 이야기
박물관	博物館	역사적 자료를 모아 전시하는 곳
반려	伴侶	함께 생활하는 짝
발굴	發掘	땅속에서 물건을 찾아 냄
발췌	拔萃	중요한 부분만 뽑음
방어	防禦	공격을 막음
배상	賠償	손해를 물어 줌
배우	俳優	연극이나 영화에서 연기하는 사람
배척	排斥	밀어내고 배척함
백록담	白鹿潭	한라산 정상의 호수
백미	白眉	여럿 가운데 가장 뛰어난 것
백부	伯父	아버지 형제 중 큰 형
번뇌	煩惱	마음속의 괴로움
번역	飜譯	다른 언어로 옮김
범람	氾濫	물이 넘쳐 흐름
벽지	僻地	사람이 드문 외진 곳
변별	辨別	구별하여 분별함
병동	病棟	병원이 환자를 치료하는 곳
병렬	竝列	나란히 늘어섬
보국	輔國	나라를 돕고 보살핌
보호	保護	지켜서 안전하게 함
복개	覆蓋	덮어 가림
복지	福祉	행복하고 편안한 조건
봉건	封建	중세 사회의 지배 제도
봉밀	蜂蜜	벌이 만든 단 물질
부고	訃告	사람의 죽음을 알림
부록	附錄	책의 본문 뒤에 덧붙임
부속	附屬	붙어서 딸림
부임	赴任	직장이나 관직에 감
분만	分娩	아기를 낳음
분발	奮發	힘써 분투함
분석	分析	나누어 자세히 밝힘
분열	分裂	나누어져 갈라짐
붕괴	崩壞	무너져 부서짐
비강	鼻腔	코 속의 공간
비명	碑銘	비석에 새긴 글
비방	誹謗	남을 헐뜯음
비속어	卑俗語	천하고 낮은 말
비유	比喩	어떤 것을 다른 것으로 표현함
비율	比率	전체에 대한 부분의 크기
빈도	頻度	어떤 일이 일어나는 횟수
사당	祠堂	조상을 모시는 집
사막	沙漠	모래가 많은 메마른 땅
사면	赦免	죄를 용서함
사양	斜陽	기울어져 지는 해
사이비	似而非	겉으로만 비슷한 것
사전	辭典	단어의 뜻을 모아 놓은 책
사족	蛇足	쓸데없는 덧붙임
사지	四肢	팔과 다리
사찰	寺刹	절
사치	奢侈	필요 이상으로 돈을 씀
삭망월	朔望月	초승달과 그믐달
산악	山岳	높고 험한 산
살포	撒布	흩어 뿌림
삼강	三綱	유교의 세 가지 도리
삼림	森林	나무가 빽빽한 곳
삽화	揷畵	책 등에 끼워 넣은 그림
상위권	上位圈	높은 위치의 그룹
상징	象徵	어떤 뜻을 나타내는 것
상호	相互	서로 서로
상황	狀況	일이 벌어진 상태
생식	生殖	새끼를 낳고 기름
서술	敍述	자세히 이야기함
서약	誓約	굳게 약속함
서찰	書札	편지
서한	書翰	편지
서행	徐行	천천히 감
선박	船舶	배
선종	禪宗	불교의 한 종파
선회	旋回	빙글빙글 돌음
섬유	纖維	실과 같은 가는 물질
섭취	攝取	먹거나 받아들임
소개	紹介	남에게 알려 줌
소외	疎外	따돌림
소원	疏遠	멀어짐
소위	所謂	일반적으로 이르는 말
소음	騷音	시끄러운 소리
수렴	垂簾	커튼을 드리움
수렴	收斂	모아서 거둠
수렵	狩獵	짐승을 잡음
수뢰	受賂	뇌물을 받음
수면	睡眠	잠
수모	受侮	모욕을 받음
수사	搜査	조사함
수요	需要	필요로 하는 것
수치	羞恥	부끄러움
수필	隨筆	자유롭게 쓴 글
순간	瞬間	아주 짧은 시간
순수	純粹	섞이지 않고 맑음
순음	脣音	입술로 내는 소리
순장	殉葬	주인이 죽으면 함께 묻히는 일
습도	濕度	공기 중에 있는 수증기 양
승화	昇華	고체가 액체를 거치지 않고 기체가 됨
신뢰	信賴	믿고 의지함
신중	愼重	조심스럽고 사려 깊음
신탁	信託	신에게 물어 결정함
심의	審議	자세히 검토하고 의논함
악마	惡魔	나쁜 영혼
악취	惡臭	지독한 냄새
안녕	安寧	편안하고 평화로움
애도	哀悼	슬퍼하고 위로함
액운	厄運	불운
여론	輿論	사람들의 일반적인 의견
여정	旅程	여행하는 길
역할	役割	맡은 임무
연령	年齡	나이
연민	憐憫	불쌍히 여김
연소	燃燒	불이 탐
염산	鹽酸	강한 산성 액체
염세	厭世	세상을 싫어함
영결	永訣	영원히 헤어짐
영양	令孃	몸에 필요한 양분
영하	零下	섭씨 0도 이하
영혼	靈魂	사람의 정신
예금	預金	은행에 돈을 맡김
오류	誤謬	잘못된 점
오만	傲慢	교만하고 거만함
오염	汚染	더러워짐
옥토	沃土	비옥한 땅
완화	緩和	부드럽게 하거나 누그러뜨림
왜곡	歪曲	사실을 비틀어 다르게 함
왜란	倭亂	일본이 일으킨 전쟁
외경	畏敬	두려워하고 존경함
요도	尿道	소변이 나오는 길
요람	搖籃	아기를 재우는 침대
요새	要塞	군사적으로 중요한 장소
요절	夭折	젊어서 죽음
요통	腰痛	허리의 통증
용해	溶解	녹아서 섞임
우열	優劣	낫고 못함
우익	右翼	정치적 성향 중 보수파
우화	寓話	교훈을 담은 이야기
운반	運搬	물건을 옮김
울창	鬱蒼	나무가 빽빽하고 우거짐
월식	月蝕	달이 가려지는 현상
위도	緯度	지구의 위치 표시
위로	慰勞	힘들거나 슬픈 사람을 위로함
위조	僞造	거짓으로 만듦
위협	威脅	두려움이나 위험을 줌
유대	紐帶	관계나 연결
유적	遺蹟	옛것이 남아 있는 곳
유치	幼稚	어리고 미숙함
유혹	誘惑	끌어당겨 빠지게 함
윤곽	輪郭	사물의 겉모양
융성	隆盛	번성함
음란	淫亂	도덕적으로 문란함
음운	音韻	소리와 운율
응고	凝固	액체가 굳음
이면	裏面	안쪽
이윤	利潤	이익과 이득
익명성	匿名性	이름을 숨김
익일	翌日	다음 날
인후	咽喉	목구멍
임금	賃金	노동의 대가로 받는 돈
임신	姙娠	아기를 몸에 품음
입자	粒子	아주 작은 알갱이
자괴	自愧	스스로 부끄러워함
자력	磁力	자석이 끌어당기는 힘
자문	諮問	조언을 구함
잠수	潛水	물속에 잠김
잠시	暫時	짧은 시간
장애	障碍	막히거나 방해됨
장원	莊園	넓은 농장
장인	匠人	기술이 뛰어난 사람
재앙	災殃	큰 불행이나 재해
재판	裁判	법원에서 판결함
전도	顚倒	뒤집히거나 거꾸로 됨
절규	絶叫	몹시 소리 지름
점포	店鋪	가게
정서	情緖	마음의 상태
제휴	提携	서로 협력함
조각	彫刻	나무나 돌에 새긴 그림
조제	調劑	약을 만듦
족벌	族閥	혈연으로 이루어진 집단
졸고	拙稿	서투른 원고
종묘	宗廟	왕과 왕비의 신위를 모신 사당
종횡	縱橫	세로와 가로
주말	週末	한 주의 마지막 날
주조	鑄造	금속을 녹여 물건 만듦
주축	主軸	중심이 되는 축
준법	遵法	법을 따름
중용	中庸	극단에 치우치지 않음
증산	蒸散	수증기가 공기 중으로 퍼짐
증여	贈與	물건이나 돈을 줌
증오	憎惡	몹시 미워함
지방	脂肪	몸에 쌓이는 기름
지옥	地獄	죽은 뒤에 가는 고통의 세계
지진	地震	땅이 흔들림
지체	遲滯	늦어짐
지혜	智慧	사물을 분별하는 슬기
진동	振動	흔들림
진료	診療	병을 치료함
진토	塵土	먼지와 흙
진폭	振幅	진동의 크기
질병	疾病	몸의 병
질식	窒息	숨이 막힘
징벌	懲罰	잘못을 벌함
착잡	錯雜	마음이 복잡함
찬란	燦爛	빛나고 아름다움
참상	慘狀	참혹한 상태
창공	蒼空	푸른 하늘
창해	滄海	넓은 바다
천도	遷都	수도를 옮김
천부	天賦	하늘이 내림
첨단	尖端	가장 앞선 부분
첨삭	添削	글을 고치고 다듬음
첩경	捷徑	지름길
청렴	淸廉	맑고 깨끗하며 욕심 없음
체결	締結	약속이나 계약을 맺음
체증	遞增	차례로 점점 늘어남
초록	抄錄	중요한 부분을 뽑아 적음
초빙	招聘	손님이나 전문가를 불러 모음
초상	肖像	얼굴이나 모습을 그림
초월	超越	한계를 넘음
총서	叢書	관련된 책을 모아 놓음
추문	醜聞	나쁜 소문
추세	趨勢	일어나는 경향
추천	推薦	남을 좋게 뽑아 소개함
추출	抽出	속에서 뽑아냄
축구	蹴球	공을 발로 차는 운동
축척	縮尺	실제 크기와 도면 크기의 비율
충돌	衝突	서로 부딪침
취기	醉氣	술에 취한 기운
취미	趣味	즐기고 좋아하는 마음
취사	炊事	음식을 만듦
칙서	勅書	왕이나 황제가 내린 명령서
친척	親戚	혈연으로 가까운 사람
침구	鍼灸	침과 뜸으로 병을 치료함
칭찬	稱讚	좋은 점을 말하여 높임
타락	墮落	도덕적으로 떨어짐
탁마	琢磨	돌을 갈고 다듬음, 마음을 닦음
탄생	誕生	태어남
탈취	奪取	빼앗아 가짐
탐닉	耽溺	어떤 일에 빠져 헤어 나오지 못함
탐욕	貪慾	지나치게 탐내는 마음
태기	胎氣	태아의 움직임
태양력	太陽曆	태양의 움직임을 기준으로 만든 달력
태풍	颱風	강한 바람과 비를 동반한 폭풍
토별가	兎鼈歌	토끼와 자라의 우화
퇴적	堆積	물질이 쌓임
투명	透明	속이 훤히 들여다보임
특수	特殊	특별하고 특별함
파시	罷市	장사를 하지 않음
파악	把握	사실이나 내용을 잘 잡음
파종	播種	씨를 뿌림
패권	覇權	권력을 차지함
편서풍	偏西風	서쪽에서 부는 바람
편집	編輯	책이나 신문을 만들어 냄
평형	平衡	균형이 잡힘
폐광	廢鑛	광산을 닫음
폐백	幣帛	결혼 예식 때 예물을 드림
폐사	弊社	자기 회사를 낮춰 이르는 말
포기	抛棄	버림
포도당	葡萄糖	포도에서 얻는 단당류
포로	捕虜	전쟁에서 잡힌 사람
포화	飽和	더 이상 받아들일 수 없음
표준어	標準語	공식적으로 정한 말
하자	瑕疵	결점이나 흠
학대	虐待	심하게 괴롭힘
한발	旱魃	가뭄
함수	函數	수학에서 변수 간의 관계
함축	含蓄	뜻을 속에 품음
항설	巷說	길거리에서 떠도는 말
항성	亢星	스스로 빛나는 별
해몽	解夢	꿈의 뜻을 풂
해부	解剖	몸을 잘라 구조를 연구함
허락	許諾	허용함
혈거	穴居	동굴이나 구멍에 거주함
형설	螢雪	어려운 환경 속에서도 공부함
호란	胡亂	외적의 침략
혹한	酷寒	몹시 추운 날씨
혼백	魂魄	사람의 영혼
혼탁	混濁	깨끗하지 못하고 흐림
홀연	忽然	갑자기
홍수	洪水	물이 많이 남
화촉	華燭	결혼식
확대	擴大	크기를 늘림
환곡	還穀	곡식을 빌려주고 거두어들임
환상	幻想	실제로는 없는 것
활엽	闊葉	넓은 잎을 가진 나무
회고	回顧	지난 일을 돌이켜 봄
회자	膾炙	많이 회자됨
획득	獲得	얻음
효시	嚆矢	처음 시작함
훈장	勳章	공로를 인정하여 주는 장식
훼손	毁損	망가뜨림
휴게	休憩	쉬는 일
희곡	戱曲	연극 대본
희롱	戱弄	장난삼아 괴롭힘
희생	犧牲	자신을 바쳐 남을 돕거나 보호함
희소	稀少	드물고 귀함
